['2025-05-07-11-08-12_0', [1, 100]]
['2025-05-07-11-10-40_0', [1, 100]]
['2025-05-07-11-13-08_0', [1, 100]]
['2025-05-07-11-15-36_0', [1, 100]]
['2025-05-07-11-18-07_0', [1, 100]]
['2025-05-07-11-20-36_0', [1, 100]]
['2025-05-07-11-23-04_0', [1, 100]]
['2025-05-07-11-25-34_0', [1, 100]]
['2025-05-07-11-28-02_0', [1, 100]]
['2025-05-07-11-30-31_0', [1, 100]]
['2025-05-07-11-33-03_0', [1, 100]]
['2025-05-07-11-35-33_0', [1, 100]]
['2025-05-07-11-38-02_0', [1, 100]]
['2025-05-07-11-40-33_0', [1, 100]]
['2025-05-07-11-43-02_0', [1, 100]]
['2025-05-07-11-45-31_0', [1, 100]]
['2025-05-07-11-47-59_0', [1, 100]]
['2025-05-07-11-50-27_0', [1, 100]]
['2025-05-07-11-52-57_0', [1, 100]]
['2025-05-07-11-55-26_0', [1, 100]]
['2025-05-07-11-57-55_0', [1, 100]]
['2025-05-07-12-00-24_0', [1, 100]]
['2025-05-07-12-02-53_0', [1, 100]]
['2025-05-07-12-05-22_0', [1, 100]]
['2025-05-07-12-07-50_0', [1, 100]]
['2025-05-07-12-10-18_0', [1, 100]]
['2025-05-07-12-12-50_0', [1, 100]]
['2025-05-07-12-15-18_0', [1, 100]]
['2025-05-07-12-17-46_0', [1, 100]]
['2025-05-07-12-20-16_0', [1, 100]]
['2025-05-07-12-22-45_0', [1, 100]]
['2025-05-07-12-25-14_0', [1, 100]]
['2025-05-07-12-27-42_0', [1, 100]]
['2025-05-07-12-30-11_0', [1, 100]]
['2025-05-07-12-32-41_0', [1, 100]]
['2025-05-07-12-35-11_0', [1, 100]]
['2025-05-07-12-37-40_0', [1, 100]]
['2025-05-07-12-40-09_0', [1, 100]]
['2025-05-07-12-42-38_0', [1, 100]]
['2025-05-07-12-45-07_0', [1, 100]]
['2025-05-07-12-47-36_0', [1, 100]]
['2025-05-07-12-50-05_0', [1, 100]]
['2025-05-07-12-52-34_0', [1, 100]]
['2025-05-07-12-55-03_0', [1, 100]]
['2025-05-07-12-57-31_0', [1, 100]]
['2025-05-07-13-00-03_0', [1, 100]]
['2025-05-07-13-02-32_0', [1, 100]]
['2025-05-07-13-04-59_0', [1, 100]]
['2025-05-07-13-07-28_0', [1, 100]]
['2025-05-07-13-09-57_0', [1, 100]]
['2025-05-07-13-12-25_0', [1, 100]]
['2025-05-07-13-14-53_0', [1, 100]]
['2025-05-07-13-17-30_0', [1, 100]]
['2025-05-07-13-20-00_0', [1, 100]]
['2025-05-07-13-22-29_0', [1, 100]]
['2025-05-07-13-24-59_0', [1, 100]]
['2025-05-07-13-27-30_0', [1, 100]]
['2025-05-07-13-29-59_0', [1, 100]]
['2025-05-07-13-32-29_0', [1, 100]]
['2025-05-07-13-34-57_0', [1, 100]]
['2025-05-07-13-37-27_0', [1, 100]]
['2025-05-07-13-39-56_0', [1, 100]]
